date,close,high,low,volume
1997-01-02,42.63,43.13,42.13,953900.0
1997-01-03,43.38,43.63,43.0,932100.0
1997-01-06,44.0,44.25,43.25,1222100.0
1997-01-07,43.75,44.0,43.5,829600.0
1997-01-08,43.75,44.0,43.63,636900.0
1997-01-09,43.88,44.13,43.5,718600.0
1997-01-10,44.13,44.25,43.0,859400.0
1997-01-13,45.0,45.13,44.5,990200.0
1997-01-14,44.75,45.0,44.5,490300.0
1997-01-15,44.38,44.88,44.19,573400.0
1997-01-16,44.25,44.75,43.88,536300.0
1997-01-17,45.0,45.0,44.13,780100.0
1997-01-20,44.75,45.0,44.5,559900.0
1997-01-21,44.5,44.75,43.75,796400.0
1997-01-22,43.5,44.38,42.88,1035000.0
1997-01-23,43.0,43.63,42.75,876100.0
1997-01-24,42.13,43.0,42.13,1652000.0
1997-01-27,41.13,42.38,41.13,2305000.0
1997-01-28,40.25,41.63,40.25,2396000.0
1997-01-29,41.0,41.25,40.5,1794000.0
1997-01-30,41.25,41.5,41.13,1176500.0
1997-01-31,41.25,41.5,41.25,710500.0
1997-02-03,41.13,41.38,41.0,1147900.0
1997-02-04,41.13,41.38,40.75,1073300.0
1997-02-05,41.0,41.5,41.0,1672000.0
1997-02-06,41.13,41.38,41.0,653700.0
1997-02-07,41.0,41.5,41.0,991800.0
1997-02-10,40.75,41.25,40.63,784600.0
1997-02-11,41.13,41.13,40.5,1040400.0
1997-02-12,42.0,42.13,41.25,919600.0
1997-02-13,42.25,42.75,41.88,898300.0
1997-02-14,42.38,42.63,42.13,637400.0
1997-02-18,42.38,43.0,42.13,791600.0
1997-02-19,42.0,42.25,41.75,957700.0
1997-02-20,41.13,41.75,41.0,714900.0
1997-02-21,41.63,41.63,41.13,677100.0
1997-02-24,41.25,41.75,41.13,694100.0
1997-02-25,41.13,41.38,40.88,913800.0
1997-02-26,40.75,41.38,40.13,1994000.0
1997-02-27,39.88,40.5,39.88,963200.0
1997-02-28,39.88,40.13,39.5,691000.0
1997-03-03,39.75,40.0,39.63,913700.0
1997-03-04,40.25,40.5,39.75,1147500.0
1997-03-05,40.25,40.5,39.88,733600.0
1997-03-06,40.13,40.75,40.0,587100.0
1997-03-07,40.13,40.5,39.88,643400.0
1997-03-10,40.13,40.25,39.88,711500.0
